source_rank,name,ticker,yahoo_ticker,type,asset_class,country,region,market_region,exchange_hint,sector,industry,sector_source,currency,source_group,source_url,as_of,display_label
29,Enel,ENEL.MI,ENEL.MI,Stock,Equity,Italy,Europe,Europe,Borsa Italiana,Utilities,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Enel (ENEL.MI) - Italy - Utilities
30,Trane Technologies,TT,TT,Stock,Equity,Ireland,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Trane Technologies (TT) - Ireland - Industrials
31,Sanofi,SNY,SNY,Stock,Equity,France,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Healthcare,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Sanofi (SNY) - France - Healthcare
32,AXA,CS.PA,CS.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,AXA (CS.PA) - France - Financials
33,Medtronic,MDT,MDT,Stock,Equity,Ireland,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Healthcare,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Medtronic (MDT) - Ireland - Healthcare
34,CaixaBank,CABK.MC,CABK.MC,Stock,Equity,Spain,Europe,Europe,Bolsa de Madrid,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,CaixaBank (CABK.MC) - Spain - Financials
35,Spotify,SPOT,SPOT,Stock,Equity,Sweden,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Communication Services,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Spotify (SPOT) - Sweden - Communication Services
36,Dior,CDI.PA,CDI.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Consumer Discretionary,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Dior (CDI.PA) - France - Consumer Discretionary
37,ING,ING,ING,Stock,Equity,Netherlands,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,ING (ING) - Netherlands - Financials
38,Johnson Controls,JCI,JCI,Stock,Equity,Ireland,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Johnson Controls (JCI) - Ireland - Industrials
39,EssilorLuxottica,EL.PA,EL.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Healthcare,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,EssilorLuxottica (EL.PA) - France - Healthcare
40,Atlas Copco,ATCO-B.ST,ATCO-B.ST,Stock,Equity,Sweden,Europe,Europe,Nasdaq Stockholm,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Atlas Copco (ATCO-B.ST) - Sweden - Industrials
41,Vinci,DG.PA,DG.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Vinci (DG.PA) - France - Industrials
42,ENGIE,ENGI.PA,ENGI.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Utilities,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,ENGIE (ENGI.PA) - France - Utilities
43,Accenture,ACN,ACN,Stock,Equity,Ireland,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Technology,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Accenture (ACN) - Ireland - Technology
44,Nokia,NOK,NOK,Stock,Equity,Finland,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Technology,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Nokia (NOK) - Finland - Technology
45,Merck KGaA,MRK.DE,MRK.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Healthcare,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Merck KGaA (MRK.DE) - Germany - Healthcare
46,Generali,G.MI,G.MI,Stock,Equity,Italy,Europe,Europe,Borsa Italiana,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Generali (G.MI) - Italy - Financials
47,Cement Roadstone Holding,CRH,CRH,Stock,Equity,Ireland,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Materials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Cement Roadstone Holding (CRH) - Ireland - Materials
48,NXP Semiconductors,NXPI,NXPI,Stock,Equity,Netherlands,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Technology,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,NXP Semiconductors (NXPI) - Netherlands - Technology
49,Munich RE (Münchener Rück),MUV2.DE,MUV2.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Munich RE (Münchener Rück) (MUV2.DE) - Germany - Financials
50,Nebius Group,NBIS,NBIS,Stock,Equity,Netherlands,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Technology,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Nebius Group (NBIS) - Netherlands - Technology
51,Volvo Group,VOLV-A.ST,VOLV-A.ST,Stock,Equity,Sweden,Europe,Europe,Nasdaq Stockholm,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Volvo Group (VOLV-A.ST) - Sweden - Industrials
52,ENI,E,E,Stock,Equity,Italy,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Energy,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,ENI (E) - Italy - Energy
53,DHL Group (Deutsche Post),DHL.DE,DHL.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,DHL Group (Deutsche Post) (DHL.DE) - Germany - Industrials
54,Ferrari,RACE,RACE,Stock,Equity,Italy,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Consumer Discretionary,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Ferrari (RACE) - Italy - Consumer Discretionary
55,Deutsche Bank,DB,DB,Stock,Equity,Germany,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Deutsche Bank (DB) - Germany - Financials
56,Nordea Bank,NDA-FI.HE,NDA-FI.HE,Stock,Equity,Finland,Europe,Europe,Nasdaq Helsinki,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Nordea Bank (NDA-FI.HE) - Finland - Financials
57,Société Générale,GLE.PA,GLE.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Société Générale (GLE.PA) - France - Financials
58,Crédit Agricole,ACA.PA,ACA.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Crédit Agricole (ACA.PA) - France - Financials
59,Argenx,ARGX,ARGX,Stock,Equity,Netherlands,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Healthcare,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Argenx (ARGX) - Netherlands - Healthcare
60,UCB,UCB.VI,UCB.VI,Stock,Equity,Belgium,Europe,Europe,Vienna Stock Exchange / Yahoo suffix,Healthcare,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,UCB (UCB.VI) - Belgium - Healthcare
61,ASM International,ASM.AS,ASM.AS,Stock,Equity,Netherlands,Europe,Europe,Euronext Amsterdam,Technology,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,ASM International (ASM.AS) - Netherlands - Technology
62,DSV,DSV.VI,DSV.VI,Stock,Equity,Denmark,Europe,Europe,Vienna Stock Exchange / Yahoo suffix,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,DSV (DSV.VI) - Denmark - Industrials
63,Rheinmetall,RHM.F,RHM.F,Stock,Equity,Germany,Europe,Europe,Frankfurt,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Rheinmetall (RHM.F) - Germany - Industrials
64,Bayer,BAYN.DE,BAYN.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Healthcare,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Bayer (BAYN.DE) - Germany - Healthcare
65,Thales,HO.PA,HO.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Thales (HO.PA) - France - Industrials
66,E.ON,EOAN.DE,EOAN.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Utilities,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,E.ON (EOAN.DE) - Germany - Utilities
67,Danone,BN.PA,BN.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Consumer Staples,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Danone (BN.PA) - France - Consumer Staples
68,Erste Group Bank,EBO.F,EBO.F,Stock,Equity,Austria,Europe,Europe,Frankfurt,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Erste Group Bank (EBO.F) - Austria - Financials
69,Sandvik,SAND.ST,SAND.ST,Stock,Equity,Sweden,Europe,Europe,Nasdaq Stockholm,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Sandvik (SAND.ST) - Sweden - Industrials
70,KBC,KBCSF,KBCSF,Stock,Equity,Belgium,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,KBC (KBCSF) - Belgium - Financials
71,Deutsche Börse,DB1.DE,DB1.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Deutsche Börse (DB1.DE) - Germany - Financials
72,Orange,ORA.PA,ORA.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Communication Services,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Orange (ORA.PA) - France - Communication Services
73,Prysmian Group,PRY.MI,PRY.MI,Stock,Equity,Italy,Europe,Europe,Borsa Italiana,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Prysmian Group (PRY.MI) - Italy - Industrials
74,Ferrovial,FER.MC,FER.MC,Stock,Equity,Spain,Europe,Europe,Bolsa de Madrid,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Ferrovial (FER.MC) - Spain - Industrials
75,Mercedes-Benz,MBG.DE,MBG.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Consumer Discretionary,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Mercedes-Benz (MBG.DE) - Germany - Consumer Discretionary
76,BASF,BAS.DE,BAS.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Materials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,BASF (BAS.DE) - Germany - Materials
77,Heineken,HEIA.AS,HEIA.AS,Stock,Equity,Netherlands,Europe,Europe,Euronext Amsterdam,Consumer Staples,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Heineken (HEIA.AS) - Netherlands - Consumer Staples
78,Commerzbank,CBK.F,CBK.F,Stock,Equity,Germany,Europe,Europe,Frankfurt,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Commerzbank (CBK.F) - Germany - Financials
79,RWE,RWE.DE,RWE.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Utilities,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,RWE (RWE.DE) - Germany - Utilities
80,Endesa,ELE.MC,ELE.MC,Stock,Equity,Spain,Europe,Europe,Bolsa de Madrid,Utilities,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Endesa (ELE.MC) - Spain - Utilities
81,ArcelorMittal,MT,MT,Stock,Equity,Luxembourg,Europe,Europe,Yahoo/US ticker or ADR; verify listing if needed,Materials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,ArcelorMittal (MT) - Luxembourg - Materials
82,Aena,AENA.MC,AENA.MC,Stock,Equity,Spain,Europe,Europe,Bolsa de Madrid,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Aena (AENA.MC) - Spain - Industrials
83,Porsche,P911.DE,P911.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Consumer Discretionary,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Porsche (P911.DE) - Germany - Consumer Discretionary
84,Compagnie de Saint-Gobain,SGO.PA,SGO.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Compagnie de Saint-Gobain (SGO.PA) - France - Industrials
85,Legrand,LR.PA,LR.PA,Stock,Equity,France,Europe,Europe,Euronext Paris,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Legrand (LR.PA) - France - Industrials
86,Hochtief,HOT.F,HOT.F,Stock,Equity,Germany,Europe,Europe,Frankfurt,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Hochtief (HOT.F) - Germany - Industrials
87,Danske Bank,DANS.VI,DANS.VI,Stock,Equity,Denmark,Europe,Europe,Vienna Stock Exchange / Yahoo suffix,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Danske Bank (DANS.VI) - Denmark - Financials
88,Siemens Healthineers,SHL.DE,SHL.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Healthcare,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Siemens Healthineers (SHL.DE) - Germany - Healthcare
89,Poste Italiane,PST.MI,PST.MI,Stock,Equity,Italy,Europe,Europe,Borsa Italiana,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Poste Italiane (PST.MI) - Italy - Industrials
90,Swedbank,SWED-A.ST,SWED-A.ST,Stock,Equity,Sweden,Europe,Europe,Nasdaq Stockholm,Financials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Swedbank (SWED-A.ST) - Sweden - Financials
91,Volkswagen,VOW3.DE,VOW3.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Consumer Discretionary,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Volkswagen (VOW3.DE) - Germany - Consumer Discretionary
92,BMW,BMW.DE,BMW.DE,Stock,Equity,Germany,Europe,Europe,Xetra / Germany,Consumer Discretionary,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,BMW (BMW.DE) - Germany - Consumer Discretionary
93,Assa Abloy,ASSA-B.ST,ASSA-B.ST,Stock,Equity,Sweden,Europe,Europe,Nasdaq Stockholm,Industrials,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,Assa Abloy (ASSA-B.ST) - Sweden - Industrials
94,ORLEN,PKN.WA,PKN.WA,Stock,Equity,Poland,Europe,Europe,Warsaw Stock Exchange,Energy,,manual_map,,EU top 100 by market cap,https://companiesmarketcap.com/european-union/largest-companies-in-the-eu-by-market-cap/,2026-07-01,ORLEN (PKN.WA) - Poland - Energy
